Textbox3,ExecutionTime
8/21/2023 5:00:04 AM,8/24/2023 5:38:47 PM

MandantenName,FilialKennung,GeraeteName,GeraeteBaujahr,GeraeteSeriennummer,GeraeteIPAdresse,GeraeteFirmware,GeraeteLastConnectionDatum,Textbox15
WAR,1971,1971_WAR_Lomianki_3_E64S_IS600e,2020,10417094,197.86.178.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
KAT,1872,1872_KAT_Olkusz_4_E64L_IS600e,2017,10363598,197.83.178.203,"18.04.3839 , 18.4.3839",8/24/2023 12:17:07 PM,Verbindung ok
KAT,1149,1149_KAT_Sosnowiec_3_E64S_IS600e,2017,10300833,197.67.26.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
LUB,1886,1886_LUB_Zamos?_3_E64S_IS600e,2016,10343523,197.83.34.202,"18.04.3839 , 18.4.3839",8/24/2023 11:32:27 AM,Verbindung ok
WRO,1845,1845_WRO_Legnica_1_E64S_IS600e,2017,10355897,197.82.250.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:27 AM,Verbindung ok
WRO,1826,1826_WRO_WrocLaw_2_E64L_IS600e,2016,10342553,197.82.170.201,"19.01.3856 , 19.1.3856",8/24/2023 12:17:08 PM,Verbindung ok
BYD,1982,1982_BYD_Torun (Galeria)_3_E64S_IS600e,2018,10390475,197.85.90.202,"22.01.3879 , 22.1.3879",8/24/2023 11:32:27 AM,Keine Verbindung
SZC,1274,1274_SZC_swinoujscie_4_E3L_WTouch,2021,10441197,197.69.170.201:8323/https://wiesheu-bottom.local,"21.6.0-1062 , 21.1.0",,Keine Verbindung
BYD,2037,2037_BYD_Aleksandrow Kujawski_4_E64L_IS600e,2020,10423470,197.87.66.203,"19.01.3856 , 19.1.3856",8/24/2023 12:17:09 PM,Verbindung ok
LUB,1482,1482_LUB_Lublin_4_E3L_WTouch,2021,10441015,197.74.82.201:8323/https://wiesheu-bottom.local,"21.1.96-758 , 21.1.0",8/24/2023 9:17:24 AM,Verbindung ok
WRO,1269,1269_WRO_Lubin_1_E64S_IS600e,2018,10372704,197.69.130.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
LOD,1700,1700_LOD_KoLo_1_E3S_WTouch,2021,10442222,197.80.10.200:8323/https://wiesheu-top.local,"22.8.0-1572 , 22.3.1",8/24/2023 7:03:33 AM,Verbindung ok
KRA,1946,1946_KRA_Tarnow_1_E64S_IS600e,2018,10387777,197.85.162.200,"17.02.3741 , 17.2.3741",8/24/2023 11:32:56 AM,Verbindung ok
GDA,2079,2079_GDA_Leba_2_E3L_WTouch,2022,10478554,197.90.186.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:17:25 AM,Verbindung ok
WRO,1942,1942_WRO_WrocLaw_3_E64S_IS600e,2020,10429970,197.87.202.202,"19.01.3856 , 19.1.3856",,Keine Verbindung
BYD,1158,1158_BYD_Bydgoszcz_4_E64L_IS600e,2017,10349484,197.67.82.203,"19.01.3856 , 19.1.3856",8/24/2023 12:17:10 PM,Verbindung ok
KAT,1149,1149_KAT_Sosnowiec_2_E64L_IS600e,2017,10347518,197.67.26.201,"19.01.3856 , 19.1.3856",8/24/2023 12:17:35 PM,Verbindung ok
KRA,2034,2034_KRA_Modylnica_2_E3L_WTouch,2020,10435306,197.88.98.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:17:26 AM,Verbindung ok
KRA,1946,1946_KRA_Tarnow_4_E64L_IS600e,2018,10387778,197.85.162.203,"18.01.3740 , 18.1.3740",8/24/2023 12:17:35 PM,Verbindung ok
GDA,1627,1627_GDA_Gdansk_4_E64L_IS600e,2019,10395867,197.78.34.203,"18.04.3839 , 18.4.3839",8/24/2023 12:17:35 PM,Verbindung ok
STY,2125,2125_STY_Otrebusy_2_E3L_WTouch,2023,10495150,197.92.114.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:17:27 AM,Verbindung ok
WRO,2021,2021_WRO_WrocLaw_2_E3L_WTouch,2021,10436542,197.87.250.200:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:17:28 AM,Verbindung ok
WAR,1439,1439_WAR_WLodawa_4_E64L_IS600e,2018,10378792,197.73.66.203,,,Keine Verbindung
GDA,1777,1777_GDA_Kowale_3_E64S_IS600e,2017,10348988,197.81.226.202,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
SZC,1515,1515_SZC_Lobez_1_E64S_IS600e,2017,10379638,197.75.42.200,"19.01.3856 , 19.1.3856",8/24/2023 11:32:56 AM,Verbindung ok
POZ,1893,1893_POZ_Poznan_4_E64L_IS600e,2016,10342489,197.83.74.203,"19.01.3856 , 19.1.3856",8/24/2023 12:17:35 PM,Verbindung ok
GDA,1266,1266_GDA_Reda_4_E3L_WTouch,2021,10443339,197.69.114.201:8323/https://wiesheu-bottom.local,"20.4.0-653 , 19.2.17",,Keine Verbindung
LUB,1332,1332_LUB_Lublin_4_E3L_WTouch,2021,10441575,197.70.218.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:17:30 AM,Verbindung ok
BYD,1739,1739_BYD_PiLa_4_E3L_WTouch,2021,10441612,197.80.250.201:8323/https://wiesheu-bottom.local,"21.8.0-1146 , 21.3.1",8/24/2023 9:20:40 AM,Verbindung ok
WAR,1874,1874_WAR_KobyLka_4_E64L_IS600e,2017,10363830,197.83.194.203,"19.01.3856 , 19.1.3856",8/21/2023 5:43:56 AM,Verbindung ok
